"","gene","symbol","name","locus_group","ensembl_id","gene_type","genomic_position_ucsc_link","p53_expression_score_55_to_57","p53_median_log2fc","p53_bound_tss","p53_bound_enhancer","rfx7_target","cell_cycle_expression_score_0_to_9","cell_cycle_gene_category","dream_target","mmb_foxm1_target","rb_e2f_target","d_np63_expression_score_12_to_14","d_np63_target","potential_d_np63_target","uni_prot_kb_id","p53_expression_score_protein_5_to_5","p53_median_log2fc_protein","mouse_ensembl_id","mouse_genomic_position","mouse_gene_name","mouse_p53_expression_score_13_to_15","mouse_p53_target","locus_type","entrez_id"
"256","CYRIA","CYRIA","CYFIP related Rac1 interactor A","protein-coding gene","ENSG00000197872","protein_coding","chr2:16549459-16666331","27","0.75","no","yes","no","2","-","no","no","no","-1","no","no","Q9H0Q0","0","-0.10","ENSMUSG00000020589","chr12:12262139-12380965","Fam49a","1","no","gene with protein product","81553"
"257","DAPK1","DAPK1","death associated protein kinase 1","protein-coding gene","ENSG00000196730","protein_coding","chr9:87497228-87708634","27","0.72","yes","no","no","1","-","no","no","no","-7","no","no","P53355","1","0.31","ENSMUSG00000021559","chr13:60601947-60763191","Dapk1","13","yes","gene with protein product","1612"
"258","NPEPL1","NPEPL1","aminopeptidase like 1","protein-coding gene","ENSG00000215440","protein_coding","chr20:58689131-58719238","27","0.53","no","yes","no","2","-","no","no","no","-2","no","no","Q8NDH3","0","0.12","ENSMUSG00000039263","chr2:174110349-174123070","Npepl1","4","no","gene with protein product","79716"
"259","HIPK3","HIPK3","homeodomain interacting protein kinase 3","protein-coding gene","ENSG00000110422","protein_coding","chr11:33256672-33357023","27","0.38","no","yes","no","3","G2/M","no","no","no","-1","no","no","-","-","-","ENSMUSG00000027177","chr2:104426481-104494446","Hipk3","2","no","gene with protein product","10114"
"260","RFX7","RFX7","regulatory factor X7","protein-coding gene","ENSG00000181827","protein_coding","chr15:56087280-56245082","27","0.38","yes","no","no","1","-","no","no","no","8","yes","yes","-","-","-","ENSMUSG00000037674","chr9:72532240-72622937","Rfx7","1","no","gene with protein product","64864"
"261","PARD6B","PARD6B","par-6 family cell polarity regulator beta","protein-coding gene","ENSG00000124171","protein_coding","chr20:50731580-50756795","27","0.37","yes","yes","no","1","-","no","no","no","-2","no","no","Q9BYG5","1","0.32","ENSMUSG00000044641","chr2:168081004-168101203","Pard6b","0","no","gene with protein product","84612"
"262","HRAS","HRAS","HRas proto-oncogene, GTPase","protein-coding gene","ENSG00000174775","protein_coding","chr11:532242-537287","27","0.37","yes","yes","no","3","G1/S","no","no","no","9","yes","yes","P01112","2","0.48","ENSMUSG00000025499","chr7:141189105-141194005","Hras","8","yes","gene with protein product","3265"
"263","TCAIM","TCAIM","T cell activation inhibitor, mitochondrial","protein-coding gene","ENSG00000179152","protein_coding","chr3:44338119-44409451","27","0.33","yes","no","no","1","-","no","no","no","-2","no","no","-","-","-","ENSMUSG00000046603","chr9:122805539-122836334","Tcaim","-1","no","gene with protein product","285343"
"264","EXOC7","EXOC7","exocyst complex component 7","protein-coding gene","ENSG00000182473","protein_coding","chr17:76081016-76121576","27","0.27","no","yes","no","1","-","no","no","no","0","no","no","Q9UPT5","1","0.10","ENSMUSG00000020792","chr11:116288001-116307233","Exoc7","9","no","gene with protein product","23265"
"265","LRPAP1","LRPAP1","LDL receptor related protein associated protein 1","protein-coding gene","ENSG00000163956","protein_coding","chr4:3503612-3532446","27","0.26","yes","yes","no","1","-","no","no","no","-1","no","no","P30533","4","0.28","ENSMUSG00000029103","chr5:35091501-35105766","Lrpap1","1","no","gene with protein product","4043"
"266","ETV7","ETV7","ETS variant transcription factor 7","protein-coding gene","ENSG00000010030","protein_coding","chr6:36354091-36387800","26","1.65","yes","yes","no","1","-","no","no","no","1","no","no","-","-","-","-","-","-","-","-","gene with protein product","51513"
"267","DOCK8","DOCK8","dedicator of cytokinesis 8","protein-coding gene","ENSG00000107099","protein_coding","chr9:214854-465259","26","1.47","yes","no","no","2","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000052085","chr19:24999534-25202432","Dock8","0","no","gene with protein product","81704"
"268","LAPTM5","LAPTM5","lysosomal protein transmembrane 5","protein-coding gene","ENSG00000162511","protein_coding","chr1:30732469-30757774","26","1.36","yes","yes","no","1","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000028581","chr4:130913125-130936141","Laptm5","1","no","gene with protein product","7805"
"269","TLR3","TLR3","toll like receptor 3","protein-coding gene","ENSG00000164342","protein_coding","chr4:186069155-186088073","26","1.02","yes","no","no","3","G1/S","no","no","no","-5","no","no","-","-","-","ENSMUSG00000031639","chr8:45395665-45411080","Tlr3","-1","no","gene with protein product","7098"
"270","FAXDC2","FAXDC2","fatty acid hydroxylase domain containing 2","protein-coding gene","ENSG00000170271","protein_coding","chr5:154818492-154859252","26","0.89","yes","yes","no","1","-","no","no","no","0","no","no","-","-","-","-","-","-","-","-","gene with protein product","10826"
"271","DHRS3","DHRS3","dehydrogenase/reductase 3","protein-coding gene","ENSG00000162496","protein_coding","chr1:12567910-12618210","26","0.63","yes","no","no","2","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000066026","chr4:144892827-144928209","Dhrs3","-4","no","gene with protein product","9249"
"272","P3H2","P3H2","prolyl 3-hydroxylase 2","protein-coding gene","ENSG00000090530","protein_coding","chr3:189956728-190122437","26","0.62","yes","yes","no","1","-","no","no","no","-2","no","no","Q8IVL5","1","1.02","ENSMUSG00000038168","chr16:25959288-26105784","P3h2","1","no","gene with protein product","55214"
"273","DTX4","DTX4","deltex E3 ubiquitin ligase 4","protein-coding gene","ENSG00000110042","protein_coding","chr11:59171430-59208588","26","0.55","no","yes","no","2","-","no","no","no","-5","no","yes","-","-","-","ENSMUSG00000039982","chr19:12466338-12501454","Dtx4","0","no","gene with protein product","23220"
"274","SLC9A1","SLC9A1","solute carrier family 9 member A1","protein-coding gene","ENSG00000090020","protein_coding","chr1:27098809-27166981","26","0.51","yes","yes","no","1","-","no","no","no","4","no","yes","P19634","1","0.18","ENSMUSG00000028854","chr4:133369706-133423702","Slc9a1","4","no","gene with protein product","6548"
"275","KCTD1","KCTD1","potassium channel tetramerization domain containing 1","protein-coding gene","ENSG00000134504","protein_coding","chr18:26454910-26657401","26","0.4","yes","no","no","1","-","no","no","no","3","no","yes","-","-","-","ENSMUSG00000036225","chr18:14968685-15151446","Kctd1","10","no","gene with protein product","284252"
"276","MAP1LC3B","MAP1LC3B","microtubule associated protein 1 light chain 3 beta","protein-coding gene","ENSG00000140941","protein_coding","chr16:87383953-87404779","26","0.36","yes","no","no","3","G2/M","no","no","no","1","no","no","-","-","-","-","-","-","-","-","gene with protein product","81631"
"277","PLEKHA8","PLEKHA8","pleckstrin homology domain containing A8","protein-coding gene","ENSG00000106086","protein_coding","chr7:30027404-30130483","26","0.34","yes","yes","no","1","-","no","no","no","-2","no","no","-","-","-","ENSMUSG00000005225","chr6:54595111-54645839","Plekha8","-3","no","gene with protein product","84725"
"278","LATS2","LATS2","large tumor suppressor kinase 2","protein-coding gene","ENSG00000150457","protein_coding","chr13:20973036-21061586","26","0.33","no","yes","no","1","-","no","no","no","-3","no","no","-","-","-","-","-","-","-","-","gene with protein product","26524"
"279","TMEM30A","TMEM30A","transmembrane protein 30A","protein-coding gene","ENSG00000112697","protein_coding","chr6:75252924-75284948","26","0.32","yes","yes","no","1","-","no","no","no","-4","no","no","Q9NV96","2","0.31","ENSMUSG00000032328","chr9:79768943-79793507","Tmem30a","-2","no","gene with protein product","55754"
"280","ATP6V1H","ATP6V1H","ATPase H+ transporting V1 subunit H","protein-coding gene","ENSG00000047249","protein_coding","chr8:53715543-53843558","26","0.29","yes","no","no","2","-","no","no","no","-1","no","no","Q9UI12","2","0.21","ENSMUSG00000033793","chr1:5070018-5162529","Atp6v1h","5","yes","gene with protein product","51606"
"281","CFAP251","CFAP251","cilia and flagella associated protein 251","protein-coding gene","ENSG00000158023","protein_coding","chr12:121918592-122003927","25","0.61","yes","yes","no","1","-","no","no","no","7","no","yes","-","-","-","ENSMUSG00000029442","chr5:123252102-123327484","Wdr66","1","no","gene with protein product","144406"
"282","TEX9","TEX9","testis expressed 9","protein-coding gene","ENSG00000151575","protein_coding","chr15:56244009-56445997","25","0.56","yes","yes","no","0","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000090626","chr9:72450394-72492212","Tex9","-3","no","gene with protein product","374618"
"283","E2F7","E2F7","E2F transcription factor 7","protein-coding gene","ENSG00000165891","protein_coding","chr12:77021248-77065569","25","0.56","yes","yes","no","6","G1/S","yes","no","yes","7","no","yes","-","-","-","ENSMUSG00000020185","chr10:110745439-110787384","E2f7","-3","no","gene with protein product","144455"
"284","GLIPR2","GLIPR2","GLI pathogenesis related 2","protein-coding gene","ENSG00000122694","protein_coding","chr9:36136536-36163913","25","0.5","no","yes","no","2","-","no","no","no","-3","no","yes","Q9H4G4","3","0.57","ENSMUSG00000028480","chr4:43957401-43979118","Glipr2","0","no","gene with protein product","152007"
"285","ACYP2","ACYP2","acylphosphatase 2","protein-coding gene","ENSG00000170634","protein_coding","chr2:53970838-54305300","25","0.48","yes","yes","no","2","-","no","no","no","-1","no","no","P14621","4","0.37","ENSMUSG00000060923","chr11:30505991-30649587","Acyp2","-2","no","gene with protein product","98"
"286","EPHA4","EPHA4","EPH receptor A4","protein-coding gene","ENSG00000116106","protein_coding","chr2:221418027-221574202","25","0.46","no","yes","no","1","-","no","no","no","-1","no","no","P54764","-1","-0.45","ENSMUSG00000026235","chr1:77367185-77515088","Epha4","-2","no","gene with protein product","2043"
"287","MT-ND5","MT-ND5","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5","protein-coding gene","ENSG00000198786","protein_coding","chrM:12337-14148","25","0.44","yes","no","no","3","G2/M","no","no","no","-1","no","no","P03915","0","0.17","ENSMUSG00000064367","chrMT:11742-13565","mt-Nd5","1","no","gene with protein product","4540"
"288","NYNRIN","NYNRIN","NYN domain and retroviral integrase containing","protein-coding gene","ENSG00000205978","protein_coding","chr14:24399003-24419283","25","0.43","yes","no","no","1","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000075592","chr14:55854010-55874736","Nynrin","-3","no","gene with protein product","57523"
"289","ADA","ADA","adenosine deaminase","protein-coding gene","ENSG00000196839","protein_coding","chr20:44619522-44652233","25","0.41","yes","yes","no","3","G1/S","no","no","no","4","no","no","P00813","1","0.14","ENSMUSG00000017697","chr2:163726584-163750239","Ada","4","no","gene with protein product","100"
"290","ITGA2","ITGA2","integrin subunit alpha 2","protein-coding gene","ENSG00000164171","protein_coding","chr5:52989340-53094779","25","0.39","no","yes","no","3","G2/M","no","no","no","4","no","yes","-","-","-","ENSMUSG00000015533","chr13:114833081-114932100","Itga2","4","no","gene with protein product","3673"
"291","APBB3","APBB3","amyloid beta precursor protein binding family B member 3","protein-coding gene","ENSG00000113108","protein_coding","chr5:140558268-140564781","25","0.37","no","yes","no","3","G2/M","no","no","no","-3","no","yes","-","-","-","-","-","-","-","-","gene with protein product","10307"
"292","FRS2","FRS2","fibroblast growth factor receptor substrate 2","protein-coding gene","ENSG00000166225","protein_coding","chr12:69470349-69579793","25","0.35","yes","yes","no","3","G2/M","no","no","no","0","no","no","-","-","-","ENSMUSG00000020170","chr10:117069427-117148534","Frs2","-2","no","gene with protein product","10818"
"293","TEPSIN","TEPSIN","TEPSIN adaptor related protein complex 4 accessory protein","protein-coding gene","ENSG00000167302","protein_coding","chr17:81228277-81239091","25","0.33","yes","yes","no","1","-","no","no","no","0","no","no","Q96N21","0","0.18","ENSMUSG00000025377","chr11:120090531-120098731","Enthd2","12","no","gene with protein product","146705"
"294","SHC1","SHC1","SHC adaptor protein 1","protein-coding gene","ENSG00000160691","protein_coding","chr1:154962298-154974395","25","0.31","yes","yes","no","3","G1/S","no","no","no","2","no","no","P29353","2","-0.02","ENSMUSG00000042626","chr3:89418443-89430027","Shc1","-1","no","gene with protein product","6464"
"295","ITM2B","ITM2B","integral membrane protein 2B","protein-coding gene","ENSG00000136156","protein_coding","chr13:48232612-48270357","25","0.29","no","yes","no","3","G1/S","no","no","no","0","no","no","Q9Y287","1","0.43","ENSMUSG00000022108","chr14:73362226-73385289","Itm2b","5","no","gene with protein product","9445"
"296","ELFN2","ELFN2","extracellular leucine rich repeat and fibronectin type III domain containing 2","protein-coding gene","ENSG00000166897","protein_coding","chr22:37367960-37427479","25","0.29","no","yes","no","1","-","no","no","no","-5","no","yes","Q5R3F8","1","0.23","ENSMUSG00000043460","chr15:78667331-78718771","Elfn2","1","no","gene with protein product","114794"
"297","CHMP3","CHMP3","charged multivesicular body protein 3","protein-coding gene","ENSG00000115561","protein_coding","chr2:86503430-86563479","25","0.28","yes","yes","no","2","-","no","no","no","-1","no","no","Q9Y3E7","2","0.16","ENSMUSG00000053119","chr6:71543797-71582609","Chmp3","2","no","gene with protein product","51652"
"298","WDR59","WDR59","WD repeat domain 59","protein-coding gene","ENSG00000103091","protein_coding","chr16:74871362-75000173","25","0.27","no","yes","no","1","-","no","no","no","0","no","no","Q6PJI9","2","0.41","ENSMUSG00000031959","chr8:111448797-111522092","Wdr59","-3","no","gene with protein product","79726"
"299","LCE1B","LCE1B","late cornified envelope 1B","protein-coding gene","ENSG00000196734","protein_coding","chr1:152811971-152813108","24","3.07","yes","no","no","1","-","no","no","no","3","no","yes","-","-","-","-","-","-","-","-","gene with protein product","353132"
"300","ADRB2","ADRB2","adrenoceptor beta 2","protein-coding gene","ENSG00000169252","protein_coding","chr5:148826611-148828623","24","1.02","yes","yes","no","3","G1/S","no","no","no","3","no","yes","-","-","-","ENSMUSG00000045730","chr18:62177816-62179959","Adrb2","12","yes","gene with protein product","154"
"301","TRIM55","TRIM55","tripartite motif containing 55","protein-coding gene","ENSG00000147573","protein_coding","chr8:66126896-66175485","24","0.98","yes","no","no","0","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000060913","chr3:19644474-19692421","Trim55","0","no","gene with protein product","84675"
"302","SELPLG","SELPLG","selectin P ligand","protein-coding gene","ENSG00000110876","protein_coding","chr12:108621895-108633894","24","0.76","no","yes","no","1","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000048163","chr5:113818536-113832644","Selplg","1","no","gene with protein product","6404"
"303","RIN1","RIN1","Ras and Rab interactor 1","protein-coding gene","ENSG00000174791","protein_coding","chr11:66330241-66336840","24","0.63","yes","no","no","1","-","no","no","no","6","no","yes","Q13671","5","0.78","ENSMUSG00000024883","chr19:5050481-5057071","Rin1","8","yes","gene with protein product","9610"
"304","PDE2A","PDE2A","phosphodiesterase 2A","protein-coding gene","ENSG00000186642","protein_coding","chr11:72576141-72674591","24","0.63","yes","yes","no","1","-","no","no","no","2","no","no","-","-","-","-","-","-","-","-","gene with protein product","5138"
"305","TCEA3","TCEA3","transcription elongation factor A3","protein-coding gene","ENSG00000204219","protein_coding","chr1:23380909-23424748","24","0.63","no","yes","no","1","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000001604","chr4:136247729-136274898","Tcea3","8","no","gene with protein product","6920"
